label x;label y
600;99
601;99
602;99
603;99
604;99
605;99
606;100
607;100
607;100
608;101
609;101
610;101
611;102
612;102
613;102
614;102
615;102
616;102
617;102
618;102
619;102
620;102
621;102
622;101
623;101
624;101
625;101
626;101
627;101
628;101
629;101
630;101
631;101
632;101
633;101
634;101
634;101
635;101
636;101
637;101
638;101
639;101
640;101
641;101
642;101
643;101
644;101
645;101
646;101
647;101
648;101
649;100
650;100
651;99
652;99
653;98
654;97
655;95
656;94
657;92
658;91
659;89
660;88
660;87
661;87
662;86
663;86
664;86
665;86
666;86
667;86
668;86
669;87
670;87
671;87
672;86
673;86
674;86
675;86
676;85
677;85
678;84
679;84
680;83
681;82
682;82
683;81
684;81
685;80
686;80
687;79
687;79
688;79
689;79
690;79
691;79
692;79
693;79
694;79
695;79
696;79
697;79
698;79
699;79
700;79
701;79
702;79
703;80
704;80
705;80
706;81
707;82
708;83
709;84
710;84
711;85
712;86
713;87
714;88
714;88
715;89
716;89
717;90
718;90
719;90
720;90
721;90
722;90
723;89
724;89
725;89
726;89
727;88
728;88
729;88
730;87
731;87
732;86
733;85
734;85
735;84
736;83
737;82
738;81
739;81
740;80
741;78
741;77
742;76
743;75
744;73
745;71
746;69
747;67
748;65
749;62
750;60
751;58
752;55
753;53
754;52
755;51
756;50
757;50
758;50
759;50
760;50
761;50
762;50
763;50
764;50
765;49
766;48
767;46
768;45
768;43
769;41
770;38
771;36
772;34
773;31
774;29
775;26
776;24
777;22
778;19
779;17
780;16
781;14
782;13
783;12
784;11
785;10
786;10
787;9
788;9
789;9
790;10
791;10
792;11
793;11
794;12
795;13
795;15
796;16
797;17
798;19
799;20
800;22
801;24
802;25
803;27
804;29
805;31
806;33
807;35
808;36
809;38
810;39
811;41
812;42
813;44
814;45
815;46
816;47
817;49
818;50
819;52
820;53
821;55
822;57
822;59
823;61
824;62
825;64
826;66
827;67
828;68
829;69
830;69
831;70
832;69
833;69
834;69
835;68
836;67
837;66
838;65
839;64
840;63
841;62
842;61
843;61
844;61
845;61
846;61
847;62
848;62
849;63
849;64
850;65
851;65
852;66
853;66
854;67
855;67
856;67
857;67
858;66
859;66
860;66
861;65
862;65
863;65
864;65
865;66
866;66
867;67
868;68
869;69
870;70
871;71
872;73
873;74
874;76
875;77
876;79
876;80
877;81
878;83
879;84
880;85
881;86
882;87
883;88
884;89
885;90
886;90
887;91
888;92
889;92
890;93
891;93
892;94
893;94
894;94
895;95
896;95
897;95
898;95
899;95
900;95
901;96
902;96
903;96
903;96
904;96
905;96
906;96
907;96
908;96
909;96
910;96
911;96
912;96
913;96
914;96
915;97
916;97
917;97
918;97
919;98
920;98
921;98
922;98
923;98
924;99
925;99
